,FpDensityMorgan1,EState_VSA7,LabuteASA,Drug_dose,NP_concentration,genus,NP_Synthesis,NP size_min,NP size_avg,"avg_Incub_period, h","growth_temp, C",ZOI_drug,ZOI_NP,ZOI_drug_NP
86,-0.758736377231659,1.88845381417723,0.37107814283314,500,30,12,9,8,13.5,36,30,25,27.0860174921429,27
166,0.675672073561956,-0.185040771708944,-0.514161278658118,10,34.2777533039648,6,7,5,18,84,37,12,22.81595486354,21
256,0.728682820656503,-0.818638596449434,-0.620656257682895,500,30,7,9,8,13.5,36,37,17,27.0860174921429,17
235,1.45688308337633,-0.818638596449434,-0.675053158025338,500,30,18,9,8,13.5,36,37,18,27.0860174921429,18
417,0.0973730143487204,-0.818638596449434,-0.267085741330514,500,30,18,9,8,13.5,36,37,11,27.0860174921429,11
401,-0.758736377231659,1.88845381417723,0.37107814283314,500,30,14,9,8,13.5,48,37,7,27.0860174921429,11
287,0.808198941298323,-0.185040771708944,-0.517965399712511,30,10,18,4,5,22.5,36,37,16,16.6084245622039,16
121,-0.480926044864516,0.640596291022092,-0.228102011618767,10,10,18,4,5,22.5,36,37,25,16.6084245622039,25
445,-1.46106880932593,1.17371876306041,0.795512527266637,5,50,4,14,31,45.26,84,37,33.9494553571429,24.1996088835957,9.74
182,0.728682820656503,-0.818638596449434,-0.620656257682895,50,10,16,2,14,28,252,37,13,16.0986355451017,20
341,0.54314520582559,2.34935052725301,-0.273742138912218,500,30,14,9,8,13.5,48,37,14,27.0860174921429,14
383,-1.29779732322513,0.62765200195686,1.91690750908698,500,30,14,9,8,13.5,48,37,7,27.0860174921429,12
242,-1.29779732322513,0.62765200195686,1.91690750908698,500,30,15,9,8,13.5,36,30,18,27.0860174921429,18
336,-0.480926044864516,0.640596291022092,-0.228102011618767,500,30,0,9,8,13.5,36,37,12,27.0860174921429,14
357,1.29932792173309,-0.263330014544298,-0.7860632465909,500,30,15,9,8,13.5,36,30,7,27.0860174921429,13
170,0.728682820656503,-0.818638596449434,-0.620656257682895,10,10,5,12,20,20,36,37,19,22.351463950876,21
48,0.732980989339845,-0.185040771708944,-0.10023571357588,500,30,12,9,8,13.5,36,30,32,27.0860174921429,32
528,-0.480926044864516,0.640596291022092,-0.228102011618767,341.25974025974,34.2777533039648,15,6,5,60,48,37,0.625,6.58584153707676,0.4
54,-0.480926044864516,0.640596291022092,-0.228102011618767,341.25974025974,34.2777533039648,18,0,20,30,36,37,500,36.5534893771632,31.25
212,-1.44475781021991,-0.818638596449434,-0.259422571742581,10,34.2777533039648,16,7,5,18,252,37,13,22.81595486354,19
415,0.633263475886319,-0.818638596449434,-0.487714403129384,500,30,20,9,8,13.5,16,30,11,27.0860174921429,11
298,-0.384542868328977,0.448557053031545,-0.628420551718767,2.5,100,18,5,5,21,36,37,0,16.5160617843168,15
173,0.0973730143487204,-0.818638596449434,-0.267085741330514,500,30,0,9,8,13.5,36,37,21,27.0860174921429,21
410,-1.44475781021991,-0.818638596449434,-0.259422571742581,10,34.2777533039648,18,7,5,18,36,37,9,22.81595486354,11
484,1.05187737552326,-0.818638596449434,-0.167088570209287,500,30,6,9,8,13.5,84,37,7,27.0860174921429,7
511,0.633263475886319,-0.818638596449434,-0.487714403129384,341.25974025974,34.2777533039648,16,1,15,28,42,37,1,17.2671288605694,1
371,-1.46106880932593,1.17371876306041,0.795512527266637,5,50,3,14,31,45.26,84,37,33.9494553571429,24.1996088835957,12.88
224,0.852374563877112,-0.818638596449434,-0.123399182153417,500,30,16,9,8,13.5,252,37,15,27.0860174921429,18
228,-2.66180928197637,-0.818638596449434,4.14563247948162,500,30,12,9,8,13.5,36,30,16,27.0860174921429,18
75,0.728682820656503,-0.818638596449434,-0.620656257682895,10,10,6,3,5,13,84,37,22,20.2346274553394,28
158,-0.480926044864516,0.640596291022092,-0.228102011618767,10,10,5,12,20,20,36,37,20,22.351463950876,22
413,0.728682820656503,-0.818638596449434,-0.620656257682895,10,34.2777533039648,10,7,5,18,288,30,10,22.81595486354,11
449,-0.480926044864516,0.640596291022092,-0.228102011618767,500,30,16,9,8,13.5,252,37,7,27.0860174921429,9
218,0.852374563877112,-0.818638596449434,-0.123399182153417,500,30,15,9,8,13.5,48,37,18.5,27.0860174921429,18.5
9,0.54314520582559,2.34935052725301,-0.273742138912218,500,30,12,9,8,13.5,36,30,46,27.0860174921429,48
44,0.728682820656503,-0.818638596449434,-0.620656257682895,500,30,2,9,8,13.5,7.08,30,24,27.0860174921429,32
378,0.675672073561956,-0.185040771708944,-0.514161278658118,25,10,20,2,14,28,60,30,0,16.0986355451017,12
385,-0.758736377231659,1.88845381417723,0.37107814283314,5,10,6,4,5,22.5,84,37,8,16.6084245622039,12
14,-0.568041608271639,4.58260193573866,0.415006576423329,15,42.3,6,10,14.45,15,84,37,28,22.295081370608,41
227,1.05187737552326,-0.818638596449434,-0.167088570209287,500,30,20,9,8,13.5,16,30,16,27.0860174921429,18
541,0.594117078031885,1.15236422590885,-0.483209510468555,341.25974025974,34.2777533039648,16,11,10,20,252,37,1,24.295554982043,0.25
247,0.675672073561956,-0.185040771708944,-0.514161278658118,10,34.2777533039648,10,7,5,18,288,30,10,22.81595486354,17
466,-1.29779732322513,0.62765200195686,1.91690750908698,500,30,17,9,8,13.5,0,30,7,27.0860174921429,8
129,0.728682820656503,-0.818638596449434,-0.620656257682895,500,30,16,9,8,13.5,252,37,22,27.0860174921429,24
309,1.05187737552326,-0.818638596449434,-0.167088570209287,500,30,14,9,8,13.5,48,37,15,27.0860174921429,15
138,-1.44475781021991,-0.818638596449434,-0.259422571742581,500,30,20,9,8,13.5,16,30,22,27.0860174921429,23
337,0.675672073561956,-0.185040771708944,-0.514161278658118,500,30,20,9,8,13.5,16,30,13,27.0860174921429,14
196,0.732980989339845,-0.185040771708944,-0.10023571357588,500,30,14,9,8,13.5,48,37,20,27.0860174921429,20
252,-0.861639592179897,-0.818638596449434,-0.0389578099721663,500,30,8,9,8,13.5,48,30,17,27.0860174921429,17
328,0.54314520582559,2.34935052725301,-0.273742138912218,10,10,18,2,14,28,36,37,0,16.0986355451017,14
279,1.05187737552326,-0.818638596449434,-0.167088570209287,500,30,8,9,8,13.5,48,30,16,27.0860174921429,16
310,1.05187737552326,-0.818638596449434,-0.167088570209287,500,30,15,9,8,13.5,48,37,15,27.0860174921429,15
499,-2.67618758744727,-0.818638596449434,3.92361102795274,341.25974025974,34.2777533039648,16,1,15,28,42,37,4,17.2671288605694,2
101,-0.702607350896257,-0.818638596449434,-0.0465071636550853,500,30,6,9,8,13.5,84,37,7,27.0860174921429,25
402,1.11223116728175,0.62765200195686,-0.76670877611861,500,30,18,9,8,13.5,36,37,7,27.0860174921429,11
464,-2.66180928197637,-0.818638596449434,4.14563247948162,500,30,16,9,8,13.5,252,37,7,27.0860174921429,8
308,-0.480926044864516,0.640596291022092,-0.228102011618767,10,10,18,2,14,28,36,37,14,16.0986355451017,15
544,0.594117078031885,1.15236422590885,-0.483209510468555,341.25974025974,34.2777533039648,5,11,10,20,36,37,8,24.295554982043,0.25
80,-0.702607350896257,-0.818638596449434,-0.0465071636550853,500,30,12,9,8,13.5,36,30,28,27.0860174921429,28
439,0.633263475886319,-0.818638596449434,-0.487714403129384,500,30,7,9,8,13.5,36,37,10,27.0860174921429,10
65,1.45688308337633,-0.818638596449434,-0.675053158025338,500,30,20,9,8,13.5,16,30,30,27.0860174921429,30
125,0.54314520582559,2.34935052725301,-0.273742138912218,500,30,16,9,8,13.5,252,37,18,27.0860174921429,24
513,0.54314520582559,2.34935052725301,-0.273742138912218,341.25974025974,34.2777533039648,16,1,15,28,42,37,2,17.2671288605694,1
144,-0.702607350896257,-0.818638596449434,-0.0465071636550853,500,30,15,9,8,13.5,36,30,23,27.0860174921429,23
148,1.29932792173309,-0.263330014544298,-0.7860632465909,300,10,6,4,5,22.5,84,37,23,16.6084245622039,23
60,-0.758736377231659,1.88845381417723,0.37107814283314,10,10,16,3,5,13,252,37,24,20.2346274553394,31
16,-0.568041608271639,4.58260193573866,0.415006576423329,15,42.3,18,10,14.45,15,36,37,27,22.295081370608,40
315,-0.0311378876986656,-0.818638596449434,-0.140354140069475,500,30,6,9,8,13.5,84,37,15,27.0860174921429,15
142,-0.480926044864516,0.640596291022092,-0.228102011618767,500,30,7,9,8,13.5,36,37,23,27.0860174921429,23
11,0.852374563877112,-0.818638596449434,-0.123399182153417,500,30,12,9,8,13.5,36,30,47,27.0860174921429,47
202,-0.480926044864516,0.640596291022092,-0.228102011618767,500,30,14,9,8,13.5,48,37,20,27.0860174921429,20
369,0.54314520582559,2.34935052725301,-0.273742138912218,500,30,7,9,8,13.5,36,37,13,27.0860174921429,13
248,1.05187737552326,-0.818638596449434,-0.167088570209287,500,30,7,9,8,13.5,36,37,14,27.0860174921429,17
303,-0.384542868328977,0.448557053031545,-0.628420551718767,500,30,20,9,8,13.5,16,30,7,27.0860174921429,15
132,0.852374563877112,-0.818638596449434,-0.123399182153417,500,30,17,9,8,13.5,0,30,24,27.0860174921429,24
92,-0.480926044864516,0.640596291022092,-0.228102011618767,341.25974025974,34.2777533039648,18,6,5,60,36,37,23,15.9664200615882,26
111,1.45688308337633,-0.818638596449434,-0.675053158025338,500,30,7,9,8,13.5,36,37,25,27.0860174921429,25
480,0.633263475886319,-0.818638596449434,-0.487714403129384,341.25974025974,34.2777533039648,1,1,15,28,36,37,32,17.2671288605694,8
260,-1.44475781021991,-0.818638596449434,-0.259422571742581,500,30,14,9,8,13.5,48,37,17,27.0860174921429,17
118,1.11223116728175,0.62765200195686,-0.76670877611861,30,10,18,4,5,22.5,36,37,25,16.6084245622039,25
64,1.05187737552326,-0.818638596449434,-0.167088570209287,500,30,12,9,8,13.5,36,30,30,27.0860174921429,30
137,1.45688308337633,-0.818638596449434,-0.675053158025338,500,30,15,9,8,13.5,36,30,22,27.0860174921429,23
512,0.54314520582559,2.34935052725301,-0.273742138912218,341.25974025974,34.2777533039648,16,1,4,8,42,37,2,28.4644124227157,1
85,0.112432885682398,-0.818638596449434,-0.297319728911649,341.25974025974,34.2777533039648,15,6,5,60,48,37,20,15.9664200615882,27
500,1.84190850964198,-0.818638596449434,-0.641251467378057,341.25974025974,34.2777533039648,0,13,1,4.7,36,37,8,46.5003359405465,2
229,-0.702607350896257,-0.818638596449434,-0.0465071636550853,500,30,18,9,8,13.5,36,37,16,27.0860174921429,18
487,1.29932792173309,-0.263330014544298,-0.7860632465909,500,30,18,9,8,13.5,36,37,7,27.0860174921429,7
386,1.11223116728175,0.62765200195686,-0.76670877611861,500,30,2,9,8,13.5,7.08,30,9,27.0860174921429,12
416,0.852374563877112,-0.818638596449434,-0.123399182153417,500,30,0,9,8,13.5,36,37,11,27.0860174921429,11
289,1.00698924290287,-0.818638596449434,-0.242275162030494,341.25974025974,34.2777533039648,8,13,1,4.7,48,37,64,46.5003359405465,16
270,-1.29779732322513,0.62765200195686,1.91690750908698,500,30,15,9,8,13.5,48,37,7,27.0860174921429,16
97,-1.44475781021991,-0.818638596449434,-0.259422571742581,500,30,17,9,8,13.5,0,30,26,27.0860174921429,26
334,-0.758736377231659,1.88845381417723,0.37107814283314,5,10,18,4,5,22.5,36,37,10,16.6084245622039,14
51,-0.480926044864516,0.640596291022092,-0.228102011618767,341.25974025974,34.2777533039648,18,0,20,30,36,37,250,36.5534893771632,31.25
59,-1.29779732322513,0.62765200195686,1.91690750908698,341.25974025974,34.2777533039648,18,6,5,60,36,37,21,15.9664200615882,31
206,-0.702607350896257,-0.818638596449434,-0.0465071636550853,500,30,14,9,8,13.5,48,37,20,27.0860174921429,20
405,0.54314520582559,2.34935052725301,-0.273742138912218,500,30,2,9,8,13.5,7.08,30,7,27.0860174921429,11
375,-1.44475781021991,-0.818638596449434,-0.259422571742581,5,25,6,14,31,45.26,84,37,14.5454545454545,24.1996088835957,12.45
63,-1.29779732322513,0.62765200195686,1.91690750908698,341.25974025974,34.2777533039648,15,6,5,60,48,37,24,15.9664200615882,30
21,0.410618338089223,0.170137137266001,-0.547687638109146,10,100,16,5,5,21,24,37,23,16.5160617843168,38
431,-0.384542868328977,0.448557053031545,-0.628420551718767,500,30,18,9,8,13.5,36,37,7,27.0860174921429,10
285,-0.546270571329289,-0.0825490081810548,0.593497807621094,500,30,7,9,8,13.5,36,37,16,27.0860174921429,16
282,0.728682820656503,-0.818638596449434,-0.620656257682895,500,30,14,9,8,13.5,48,37,16,27.0860174921429,16
136,-0.480926044864516,0.640596291022092,-0.228102011618767,10,10,6,4,5,22.5,84,37,24,16.6084245622039,24
444,-2.66180928197637,-0.818638596449434,4.14563247948162,500,30,7,9,8,13.5,36,37,10,27.0860174921429,10
83,-0.480926044864516,0.640596291022092,-0.228102011618767,10,42.3,6,10,14.45,15,84,37,31,22.295081370608,28
269,-0.384542868328977,0.448557053031545,-0.628420551718767,500,30,8,9,8,13.5,48,30,7,27.0860174921429,16
226,-0.0311378876986656,-0.818638596449434,-0.140354140069475,500,30,16,9,8,13.5,252,37,15,27.0860174921429,18
250,-1.44475781021991,-0.818638596449434,-0.259422571742581,500,30,18,9,8,13.5,36,37,16,27.0860174921429,17
140,-0.861639592179897,-0.818638596449434,-0.0389578099721663,500,30,0,9,8,13.5,36,37,23,27.0860174921429,23
433,1.11223116728175,0.62765200195686,-0.76670877611861,500,30,16,9,8,13.5,252,37,8,27.0860174921429,10
388,1.29932792173309,-0.263330014544298,-0.7860632465909,500,30,7,9,8,13.5,36,37,10,27.0860174921429,12
423,0.633263475886319,-0.818638596449434,-0.487714403129384,500,30,8,9,8,13.5,48,30,7,27.0860174921429,10
30,0.728682820656503,-0.818638596449434,-0.620656257682895,10,34.2777533039648,16,7,5,18,252,37,29,22.81595486354,36
257,1.45688308337633,-0.818638596449434,-0.675053158025338,500,30,0,9,8,13.5,36,37,17,27.0860174921429,17
465,-2.66180928197637,-0.818638596449434,4.14563247948162,500,30,18,9,8,13.5,36,37,7,27.0860174921429,8
538,-0.480926044864516,0.640596291022092,-0.228102011618767,341.25974025974,34.2777533039648,16,1,4,8,42,37,1,28.4644124227157,0.25
205,-0.546270571329289,-0.0825490081810548,0.593497807621094,500,30,0,9,8,13.5,36,37,20,27.0860174921429,20
171,0.732980989339845,-0.185040771708944,-0.10023571357588,500,30,2,9,8,13.5,7.08,30,21,27.0860174921429,21
66,-0.480926044864516,0.640596291022092,-0.228102011618767,500,30,20,9,8,13.5,16,30,30,27.0860174921429,30
514,0.633263475886319,-0.818638596449434,-0.487714403129384,341.25974025974,34.2777533039648,18,1,15,28,36,37,2,17.2671288605694,1
532,0.112432885682398,-0.818638596449434,-0.297319728911649,341.25974025974,34.2777533039648,6,6,5,60,84,37,0.625,6.58584153707676,0.3
395,-1.29779732322513,0.62765200195686,1.91690750908698,500,30,0,9,8,13.5,36,37,12,27.0860174921429,12
82,1.09975805031833,-0.818638596449434,-0.32939360576692,5,10,6,4,5,22.5,84,37,28,16.6084245622039,28
96,-1.44475781021991,-0.818638596449434,-0.259422571742581,500,30,12,9,8,13.5,36,30,26,27.0860174921429,26
324,1.84190850964198,-0.818638596449434,-0.641251467378057,341.25974025974,100,0,5,5,21,36,37,0,16.5160617843168,14
478,0.633263475886319,-0.818638596449434,-0.487714403129384,341.25974025974,34.2777533039648,1,1,4,8,36,37,32,28.4644124227157,8
366,0.675672073561956,-0.185040771708944,-0.514161278658118,500,30,15,9,8,13.5,36,30,11,27.0860174921429,13
225,0.852374563877112,-0.818638596449434,-0.123399182153417,500,30,20,9,8,13.5,16,30,15,27.0860174921429,18
320,-0.546270571329289,-0.0825490081810548,0.593497807621094,500,30,15,9,8,13.5,48,37,15,27.0860174921429,15
278,0.633263475886319,-0.818638596449434,-0.487714403129384,500,30,14,9,8,13.5,48,37,16,27.0860174921429,16
322,0.808198941298323,-0.185040771708944,-0.517965399712511,30,10,6,4,5,22.5,84,37,15,16.6084245622039,15
381,0.675672073561956,-0.185040771708944,-0.514161278658118,500,30,0,9,8,13.5,36,37,7,27.0860174921429,12
7,-0.480926044864516,0.640596291022092,-0.228102011618767,341.25974025974,34.2777533039648,18,0,20,30,36,37,500,36.5534893771632,62.5
539,-0.480926044864516,0.640596291022092,-0.228102011618767,341.25974025974,34.2777533039648,16,1,15,28,42,37,1,17.2671288605694,0.25
31,-0.551945227574914,0.448557053031545,-0.0927742860372418,2,10,18,4,5,22.5,36,37,36,16.6084245622039,36
73,0.112432885682398,-0.818638596449434,-0.297319728911649,341.25974025974,34.2777533039648,18,6,5,60,36,37,18,15.9664200615882,28
187,1.05187737552326,-0.818638596449434,-0.167088570209287,500,30,16,9,8,13.5,252,37,18,27.0860174921429,20
348,-1.29779732322513,0.62765200195686,1.91690750908698,30,100,5,5,5,21,36,37,0,16.5160617843168,13
526,0.594117078031885,1.15236422590885,-0.483209510468555,341.25974025974,34.2777533039648,6,11,10,20,84,37,2,24.295554982043,0.5
448,0.633263475886319,-0.818638596449434,-0.487714403129384,500,30,0,9,8,13.5,36,37,7,27.0860174921429,9
494,1.84190850964198,-0.818638596449434,-0.641251467378057,341.25974025974,34.2777533039648,15,13,1,4.7,48,37,8,46.5003359405465,4
55,-0.480926044864516,0.640596291022092,-0.228102011618767,341.25974025974,34.2777533039648,18,0,20,30,36,37,500,36.5534893771632,31.25
184,-0.758736377231659,1.88845381417723,0.37107814283314,500,30,15,9,8,13.5,36,30,16,27.0860174921429,20
311,0.852374563877112,-0.818638596449434,-0.123399182153417,500,30,15,9,8,13.5,36,30,15,27.0860174921429,15
313,0.54314520582559,2.34935052725301,-0.273742138912218,500,30,18,9,8,13.5,36,37,15,27.0860174921429,15
317,-2.66180928197637,-0.818638596449434,4.14563247948162,500,30,0,9,8,13.5,36,37,15,27.0860174921429,15
133,0.0973730143487204,-0.818638596449434,-0.267085741330514,500,30,7,9,8,13.5,36,37,24,27.0860174921429,24
547,-0.293667301881183,-0.095493297246287,-0.156249481403691,341.25974025974,34.2777533039648,15,6,5,60,48,37,0.3125,6.58584153707676,0.1
473,0.732980989339845,-0.185040771708944,-0.10023571357588,341.25974025974,34.2777533039648,14,13,1,4.7,48,37,32,46.5003359405465,8
134,-0.0311378876986656,-0.818638596449434,-0.140354140069475,500,30,17,9,8,13.5,0,30,24,27.0860174921429,24
220,0.410618338089223,0.170137137266001,-0.547687638109146,10,100,0,5,5,21,36,37,8,16.5160617843168,18
459,-0.758736377231659,1.88845381417723,0.37107814283314,500,30,6,9,8,13.5,84,37,7,27.0860174921429,8
429,1.11223116728175,0.62765200195686,-0.76670877611861,500,30,0,9,8,13.5,36,37,7,27.0860174921429,10
370,-0.546270571329289,-0.0825490081810548,0.593497807621094,500,30,17,9,8,13.5,0,30,13,27.0860174921429,13
479,-0.480926044864516,0.640596291022092,-0.228102011618767,341.25974025974,34.2777533039648,6,1,15,28,84,37,32,17.2671288605694,8
276,-1.44475781021991,-0.818638596449434,-0.259422571742581,500,30,6,9,8,13.5,84,37,14,27.0860174921429,16
365,-0.298579494662145,1.26225803211021,-0.0784566455460908,30,10,18,2,14,28,36,37,10,16.0986355451017,13
446,0.675672073561956,0.429218926705701,-0.364088994586418,300,10,6,4,5,22.5,84,37,0,16.6084245622039,9
525,0.633263475886319,-0.818638596449434,-0.487714403129384,341.25974025974,34.2777533039648,18,1,4,8,36,37,2,28.4644124227157,0.5
404,1.29932792173309,-0.263330014544298,-0.7860632465909,500,30,15,9,8,13.5,48,37,7,27.0860174921429,11
549,0.54314520582559,2.34935052725301,-0.273742138912218,341.25974025974,34.2777533039648,13,1,15,28,18,37,0.03,17.2671288605694,0.03
207,-0.480926044864516,0.640596291022092,-0.228102011618767,20,20,0,8,10,44.45,36,37,17.3,26.8255592008775,19.9
351,-1.29779732322513,0.62765200195686,1.91690750908698,30,100,6,5,5,21,84,37,0,16.5160617843168,13
399,-0.546270571329289,-0.0825490081810548,0.593497807621094,5,25,6,14,31,45.26,84,37,17.1428571428571,24.1996088835957,11.43
504,-2.67618758744727,-0.818638596449434,3.92361102795274,341.25974025974,34.2777533039648,1,1,15,28,36,37,8,17.2671288605694,2
34,1.05187737552326,-0.818638596449434,-0.167088570209287,40,42.3,6,10,14.45,15,84,37,0,22.295081370608,34
455,-0.758736377231659,1.88845381417723,0.37107814283314,10,34.2777533039648,10,7,5,18,288,30,8,22.81595486354,9
165,0.675672073561956,-0.185040771708944,-0.514161278658118,10,10,6,3,5,13,84,37,12,20.2346274553394,21
288,0.594117078031885,1.15236422590885,-0.483209510468555,341.25974025974,34.2777533039648,14,11,10,20,48,30,32,24.295554982043,16
382,0.728682820656503,-0.818638596449434,-0.620656257682895,500,30,8,9,8,13.5,48,30,7,27.0860174921429,12
488,-2.66180928197637,-0.818638596449434,4.14563247948162,500,30,14,9,8,13.5,48,37,7,27.0860174921429,7
10,1.45688308337633,-0.818638596449434,-0.675053158025338,500,30,12,9,8,13.5,36,30,48,27.0860174921429,48
490,-0.384542868328977,0.448557053031545,-0.628420551718767,500,30,14,9,8,13.5,48,37,7,27.0860174921429,7
272,-1.44475781021991,-0.818638596449434,-0.259422571742581,10,10,6,3,5,13,84,37,12,20.2346274553394,16
364,1.05187737552326,-0.818638596449434,-0.167088570209287,500,30,0,9,8,13.5,36,37,10,27.0860174921429,13
534,-1.29779732322513,0.62765200195686,1.91690750908698,341.25974025974,34.2777533039648,18,6,5,60,36,37,0.625,6.58584153707676,0.3
169,0.410618338089223,0.170137137266001,-0.547687638109146,10,100,10,5,5,21,288,30,19,16.5160617843168,21
454,-0.758736377231659,1.88845381417723,0.37107814283314,10,10,10,3,5,13,288,30,8,20.2346274553394,9
216,0.0973730143487204,-0.818638596449434,-0.267085741330514,500,30,2,9,8,13.5,7.08,30,19,27.0860174921429,19
77,0.931586025052871,-0.095493297246287,-0.334618134981772,341.25974025974,34.2777533039648,6,6,5,60,84,37,22,15.9664200615882,28
263,0.112432885682398,-0.818638596449434,-0.297319728911649,500,30,0,9,8,13.5,36,37,17,27.0860174921429,17
